Position (mm),Force (N),Strain (%),Stress (N/mm�),Time (sec)
0.0,0.0,0.0,0.0,0.0
0.0,-1.667,0.0,-0.0589,0.0625
0.0,-1.667,0.0,-0.0589,0.1719
0.0,0.0,0.0,0.0,0.234
0.001,6.67,0.004,0.236,0.297
0.002,20,0.008,0.707,0.359
0.003,36.7,0.012,1.297,0.422
0.004,58.3,0.016,2.06,0.484
0.006,81.7,0.024,2.89,0.547
0.007,100,0.028,3.54,0.609
0.008,118.3,0.032,4.19,0.672
0.009,135,0.036,4.77,0.734
0.01,153.3,0.04,5.42,0.797
0.011,171.7,0.044,6.07,0.859
0.012,186.7,0.048,6.6,0.922
0.013,198.3,0.052,7.01,0.984
0.014,205,0.056,7.25,1.047
0.015,212,0.06,7.49,1.109
0.016,217,0.064,7.66,1.172
0.017,222,0.068,7.84,1.234
0.018,227,0.072,8.02,1.297
0.019,230,0.076,8.13,1.359
0.02,233,0.08,8.25,1.422
0.021,238,0.084,8.43,1.484
0.023,243,0.092,8.61,1.547
0.024,250,0.096,8.84,1.609
0.025,255,0.1,9.02,1.672
0.026,258,0.104,9.14,1.734
0.027,260,0.108,9.2,1.797
0.028,263,0.112,9.31,1.859
0.029,268,0.116,9.49,1.922
0.03,273,0.12,9.67,1.984
0.031,277,0.124,9.79,2.05
0.032,280,0.128,9.9,2.11
0.033,283,0.132,10.02,2.17
0.034,285,0.136,10.08,2.23
0.035,290,0.14,10.26,2.3
0.036,295,0.144,10.43,2.36
0.037,300,0.148,10.61,2.42
0.038,303,0.152,10.73,2.48
0.039,305,0.156,10.79,2.55
0.04,308,0.16,10.91,2.61
0.041,312,0.164,11.02,2.67
0.043,317,0.172,11.2,2.73
0.044,320,0.176,11.32,2.8
0.044,323,0.176,11.44,2.86
0.045,325,0.18,11.49,2.92
0.046,328,0.184,11.61,2.98
0.048,333,0.192,11.79,3.05
0.049,337,0.196,11.91,3.11
0.05,342,0.2,12.08,3.17
0.051,345,0.204,12.2,3.23
0.052,348,0.208,12.32,3.3
0.053,352,0.212,12.44,3.36
0.054,355,0.216,12.56,3.42
0.055,360,0.22,12.73,3.48
0.056,365,0.224,12.91,3.55
0.057,368,0.228,13.03,3.61
0.058,370,0.232,13.09,3.67
0.059,373,0.236,13.2,3.73
0.06,377,0.24,13.32,3.8
0.061,382,0.244,13.5,3.86
0.062,387,0.248,13.68,3.92
0.063,390,0.252,13.79,3.98
0.064,392,0.256,13.85,4.05
0.065,395,0.26,13.97,4.11
0.066,398,0.264,14.09,4.17
0.068,403,0.272,14.26,4.23
0.069,408,0.276,14.44,4.3
0.07,412,0.28,14.56,4.36
0.071,415,0.284,14.68,4.42
0.071,417,0.284,14.74,4.48
0.073,420,0.292,14.85,4.55
0.074,423,0.296,14.97,4.61
0.075,428,0.3,15.15,4.67
0.076,432,0.304,15.27,4.73
0.077,435,0.308,15.38,4.8
0.078,437,0.312,15.44,4.86
0.079,440,0.316,15.56,4.92
0.08,445,0.32,15.74,4.98
0.081,450,0.324,15.92,5.05
0.082,455,0.328,16.09,5.11
0.083,458,0.332,16.21,5.17
0.084,462,0.336,16.33,5.23
0.085,463,0.34,16.39,5.3
0.086,467,0.344,16.5,5.36
0.087,472,0.348,16.68,5.42
0.088,475,0.352,16.8,5.48
0.089,478,0.356,16.92,5.55
0.09,482,0.36,17.04,5.61
0.091,485,0.364,17.15,5.67
0.092,488,0.368,17.27,5.73
0.094,492,0.376,17.39,5.8
0.095,497,0.38,17.57,5.86
0.096,500,0.384,17.68,5.92
0.096,502,0.384,17.74,5.98
0.097,505,0.388,17.86,6.05
0.099,508,0.396,17.98,6.11
0.1,513,0.4,18.16,6.17
0.101,517,0.404,18.27,6.23
0.102,520,0.408,18.39,6.3
0.103,523,0.412,18.51,6.36
0.104,525,0.416,18.57,6.42
0.105,528,0.42,18.69,6.48
0.106,533,0.424,18.86,6.55
0.107,537,0.428,18.98,6.61
0.108,542,0.432,19.16,6.67
0.109,543,0.436,19.22,6.73
0.11,545,0.44,19.28,6.8
0.111,548,0.444,19.39,6.86
0.112,552,0.448,19.51,6.92
0.113,557,0.452,19.69,6.98
0.114,562,0.456,19.86,7.05
0.115,563,0.46,19.92,7.11
0.116,567,0.464,20,7.17
0.117,568,0.468,20.1,7.23
0.118,573,0.472,20.3,7.3
0.119,577,0.476,20.4,7.36
