"Position (mm)","Force (N)","Strain (%)","Stress (N/mm�)","Time (sec)"
0.0,-5,0.0,-0.278,0.0
0.0,-5,0.0,-0.278,0.0625
0.0,-5,0.0,-0.278,0.1719
0.0,-3.33,0.0,-0.1852,0.234
0.001,0.0,0.004,0.0,0.297
0.002,10,0.008,0.556,0.359
0.003,25,0.012,1.389,0.422
0.004,41.7,0.016,2.31,0.484
0.005,60,0.02,3.33,0.547
0.007,78.3,0.028,4.35,0.609
0.008,95,0.032,5.28,0.672
0.009,111.7,0.036,6.2,0.734
0.01,126.7,0.04,7.04,0.797
0.011,140,0.044,7.78,0.859
0.012,153.3,0.048,8.52,0.922
0.013,168.3,0.052,9.35,0.984
0.014,180,0.056,10,1.047
0.015,191.7,0.06,10.65,1.109
0.016,198.3,0.064,11.02,1.172
0.017,207,0.068,11.48,1.234
0.018,212,0.072,11.76,1.297
0.019,218,0.076,12.13,1.359
0.02,225,0.08,12.5,1.422
0.021,230,0.084,12.78,1.484
0.022,235,0.088,13.06,1.547
0.023,240,0.092,13.33,1.609
0.025,247,0.1,13.7,1.672
0.026,253,0.104,14.07,1.734
0.027,260,0.108,14.44,1.797
0.028,267,0.112,14.81,1.859
0.029,272,0.116,15.09,1.922
0.03,277,0.12,15.37,1.984
0.031,283,0.124,15.74,2.05
0.032,290,0.128,16.11,2.11
0.033,297,0.132,16.48,2.17
0.034,302,0.136,16.76,2.23
0.035,307,0.14,17.04,2.3
0.036,310,0.144,17.22,2.36
0.037,317,0.148,17.59,2.42
0.038,323,0.152,17.96,2.48
0.039,330,0.156,18.33,2.55
0.04,335,0.16,18.61,2.61
0.041,340,0.164,18.89,2.67
0.042,345,0.168,19.17,2.73
0.043,350,0.172,19.44,2.8
0.044,355,0.176,19.72,2.86
0.046,362,0.184,20.1,2.92
0.046,367,0.184,20.4,2.98
0.047,372,0.188,20.6,3.05
0.048,377,0.192,20.9,3.11
0.05,382,0.2,21.2,3.17
0.051,387,0.204,21.5,3.23
0.052,392,0.208,21.8,3.3
0.053,397,0.212,22,3.36
0.054,402,0.216,22.3,3.42
0.055,405,0.22,22.5,3.48
0.056,410,0.224,22.8,3.55
0.057,415,0.228,23.1,3.61
0.058,420,0.232,23.3,3.67
0.059,427,0.236,23.7,3.73
0.06,432,0.24,24,3.8
0.061,435,0.244,24.2,3.86
0.062,438,0.248,24.4,3.92
0.063,443,0.252,24.6,3.98
0.064,450,0.256,25,4.05
0.065,455,0.26,25.3,4.11
0.066,458,0.264,25.5,4.17
0.067,462,0.268,25.6,4.23
0.068,467,0.272,25.9,4.3
0.069,472,0.276,26.2,4.36
0.071,477,0.284,26.5,4.42
0.071,482,0.284,26.8,4.48
0.072,485,0.288,26.9,4.55
0.073,490,0.292,27.2,4.61
0.074,493,0.296,27.4,4.67
0.076,498,0.304,27.7,4.73
0.077,505,0.308,28.1,4.8
0.078,510,0.312,28.3,4.86
0.079,515,0.316,28.6,4.92
0.08,517,0.32,28.7,4.98
0.081,522,0.324,29,5.05
0.082,527,0.328,29.3,5.11
0.083,532,0.332,29.5,5.17
0.084,538,0.336,29.9,5.23
0.085,542,0.34,30.1,5.3
0.086,545,0.344,30.3,5.36
0.087,548,0.348,30.5,5.42
0.088,553,0.352,30.7,5.48
0.089,558,0.356,31,5.55
0.09,565,0.36,31.4,5.61
0.091,568,0.364,31.6,5.67
0.092,572,0.368,31.8,5.73
0.093,575,0.372,31.9,5.8
0.094,580,0.376,32.2,5.86
0.095,585,0.38,32.5,5.92
0.097,592,0.388,32.9,5.98
0.098,595,0.392,33.1,6.05
0.098,598,0.392,33.2,6.11
0.099,602,0.396,33.4,6.17
0.101,607,0.404,33.7,6.23
0.102,612,0.408,34,6.3
0.103,617,0.412,34.3,6.36
0.104,622,0.416,34.5,6.42
0.105,625,0.42,34.7,6.48
0.106,628,0.424,34.9,6.55
0.107,632,0.428,35.1,6.61
0.108,638,0.432,35.5,6.67
0.109,645,0.436,35.8,6.73
0.11,650,0.44,36.1,6.8
0.111,653,0.444,36.3,6.86
0.112,655,0.448,36.4,6.92
0.113,660,0.452,36.7,6.98
0.114,665,0.456,36.9,7.05
0.115,670,0.46,37.2,7.11
0.116,675,0.464,37.5,7.17
0.117,678,0.468,37.7,7.23
0.118,682,0.472,37.9,7.3
0.119,685,0.476,38.1,7.36
0.12,690,0.48,38.3,7.42
0.122,697,0.488,38.7,7.48
0.123,702,0.492,39,7.55
0.123,705,0.492,39.2,7.61
0.124,708,0.496,39.4,7.67
0.126,712,0.504,39.5,7.73
0.127,717,0.508,39.8,7.8
0.128,722,0.512,40.1,7.86
0.129,727,0.516,40.4,7.92
0.13,730,0.52,40.6,7.98
0.131,733,0.524,40.7,8.05
0.132,737,0.528,40.9,8.11
0.133,742,0.532,41.2,8.17
0.134,747,0.536,41.5,8.23
0.135,752,0.54,41.8,8.3
0.136,755,0.544,41.9,8.36
0.137,758,0.548,42.1,8.42
0.138,762,0.552,42.3,8.48
0.139,767,0.556,42.6,8.55
0.14,772,0.56,42.9,8.61
0.141,777,0.564,43.1,8.67
0.142,780,0.568,43.3,8.73
0.143,783,0.572,43.5,8.8
0.144,787,0.576,43.7,8.86
0.145,792,0.58,44,8.92
0.147,797,0.588,44.3,8.98
0.148,802,0.592,44.5,9.05
0.149,805,0.596,44.7,9.11
0.149,808,0.596,44.9,9.17
0.151,812,0.604,45.1,9.23
0.152,817,0.608,45.4,9.3
0.153,822,0.612,45.6,9.36
0.154,827,0.616,45.9,9.42
0.155,830,0.62,46.1,9.48
0.156,833,0.624,46.3,9.55
0.157,838,0.628,46.6,9.61
0.158,842,0.632,46.8,9.67
0.159,848,0.636,47.1,9.73
0.16,855,0.64,47.5,9.8
0.161,858,0.644,47.7,9.86
0.162,863,0.648,48,9.92
0.163,865,0.652,48.1,9.98
0.164,868,0.656,48.2,10.05
