Position (mm),Force (N),Strain (%),Stress (N/mm�),Time (sec)
0.0,-1.667,0.0,-0.0849,0.0
0.0,-1.667,0.0,-0.0849,0.0625
0.0,-1.667,0.0,-0.0849,0.1719
0.0,0.0,0.0,0.0,0.234
0.001,6.67,0.004,0.34,0.297
0.002,18.33,0.008,0.934,0.359
0.003,33.3,0.012,1.698,0.422
0.004,53.3,0.016,2.72,0.484
0.006,71.7,0.024,3.65,0.547
0.007,90,0.028,4.58,0.609
0.008,108.3,0.032,5.52,0.672
0.009,125,0.036,6.37,0.734
0.01,140,0.04,7.13,0.797
0.011,156.7,0.044,7.98,0.859
0.012,173.3,0.048,8.83,0.922
0.013,188.3,0.052,9.59,0.984
0.014,203,0.056,10.36,1.047
0.015,217,0.06,11.03,1.109
0.016,228,0.064,11.63,1.172
0.017,242,0.068,12.31,1.234
0.018,255,0.072,12.99,1.297
0.019,265,0.076,13.5,1.359
0.02,275,0.08,14.01,1.422
0.021,283,0.084,14.43,1.484
0.022,292,0.088,14.85,1.547
0.024,300,0.096,15.28,1.609
0.025,308,0.1,15.7,1.672
0.026,315,0.104,16.04,1.734
0.027,320,0.108,16.3,1.797
0.028,323,0.112,16.47,1.859
0.029,330,0.116,16.81,1.922
0.03,335,0.12,17.06,1.984
0.031,343,0.124,17.49,2.05
0.032,350,0.128,17.83,2.11
0.033,355,0.132,18.08,2.17
0.034,360,0.136,18.33,2.23
0.035,365,0.14,18.59,2.3
0.036,372,0.144,18.93,2.36
0.037,378,0.148,19.27,2.42
0.038,385,0.152,19.61,2.48
0.039,392,0.156,19.95,2.55
0.04,395,0.16,20.1,2.61
0.041,400,0.164,20.4,2.67
0.042,405,0.168,20.6,2.73
0.044,412,0.176,21,2.8
0.045,418,0.18,21.3,2.86
0.046,423,0.184,21.6,2.92
0.046,427,0.184,21.7,2.98
0.047,430,0.188,21.9,3.05
0.049,435,0.196,22.2,3.11
0.05,442,0.2,22.5,3.17
0.051,447,0.204,22.7,3.23
0.052,452,0.208,23,3.3
0.053,457,0.212,23.3,3.36
0.054,460,0.216,23.4,3.42
0.055,465,0.22,23.7,3.48
0.056,470,0.224,23.9,3.55
0.057,477,0.228,24.3,3.61
0.058,482,0.232,24.5,3.67
0.059,487,0.236,24.8,3.73
0.06,490,0.24,25,3.8
0.061,495,0.244,25.2,3.86
0.062,500,0.248,25.5,3.92
0.063,507,0.252,25.8,3.98
0.064,512,0.256,26.1,4.05
0.065,515,0.26,26.2,4.11
0.066,517,0.264,26.3,4.17
0.067,522,0.268,26.6,4.23
0.068,527,0.272,26.8,4.3
0.07,533,0.28,27.2,4.36
0.071,538,0.284,27.4,4.42
0.071,543,0.284,27.7,4.48
0.072,547,0.288,27.8,4.55
0.074,552,0.296,28.1,4.61
0.075,557,0.3,28.4,4.67
0.076,562,0.304,28.6,4.73
0.077,567,0.308,28.9,4.8
0.078,572,0.312,29.1,4.86
0.079,575,0.316,29.3,4.92
0.08,580,0.32,29.5,4.98
0.081,585,0.324,29.8,5.05
0.082,590,0.328,30,5.11
0.083,595,0.332,30.3,5.17
0.084,600,0.336,30.6,5.23
0.085,603,0.34,30.7,5.3
0.086,607,0.344,30.9,5.36
0.087,612,0.348,31.2,5.42
0.088,617,0.352,31.4,5.48
0.089,622,0.356,31.7,5.55
0.09,627,0.36,31.9,5.61
0.091,630,0.364,32.1,5.67
0.092,633,0.368,32.3,5.73
0.093,638,0.372,32.5,5.8
0.094,645,0.376,32.8,5.86
0.096,650,0.384,33.1,5.92
0.096,655,0.384,33.4,5.98
0.097,658,0.388,33.5,6.05
0.098,662,0.392,33.7,6.11
0.1,667,0.4,34,6.17
0.101,672,0.404,34.2,6.23
0.102,677,0.408,34.5,6.3
0.103,682,0.412,34.7,6.36
0.104,687,0.416,35,6.42
0.105,690,0.42,35.1,6.48
0.106,695,0.424,35.4,6.55
0.107,700,0.428,35.7,6.61
0.108,705,0.432,35.9,6.67
0.109,712,0.436,36.2,6.73
